name,email,phone,company,address
Acme Corp,billing@acmecorp.com,+1-555-0101,Acme Corp,100 Market St
Beta Industries,accounts@betaindustries.com,+1-555-0102,Beta Industries,200 Oak Ave
Gamma Solutions,ap@gamma-solutions.com,+1-555-0103,Gamma Solutions,300 Pine Rd
Delta Ltd,finance@deltaltd.com,+1-555-0104,Delta Ltd,400 Cedar Blvd
Epsilon Group,billing@epsilongroup.io,+1-555-0105,Epsilon Group,500 Elm St
Zeta Partners,accounting@zetapartners.com,+1-555-0106,Zeta Partners,600 Birch Way
Eta Ventures,payables@etaventures.co,+1-555-0107,Eta Ventures,700 Maple Dr
Theta Systems,finance@thetasys.net,+1-555-0108,Theta Systems,800 Walnut Ct
Iota Holdings,ap@iotaholdings.com,+1-555-0109,Iota Holdings,900 Spruce Ln
Kappa Ltd,accounts@kappaltd.com,+1-555-0110,Kappa Ltd,1000 Ash Ave
