invoice_number,customer_id,amount,currency,issue_date,due_date,status,description
INV-1001,1,12500.0,USD,2026-08-24,2026-09-23,issued,Services INV-1001
INV-1002,2,23000.0,USD,2026-08-19,2026-09-18,issued,Services INV-1002
INV-1003,3,8400.0,USD,2026-08-29,2026-09-28,issued,Services INV-1003
INV-1004,4,16000.0,USD,2026-07-25,2026-08-24,issued,Services INV-1004
INV-1005,5,9100.0,USD,2026-07-05,2026-08-09,issued,Services INV-1005
INV-1006,6,1500.0,USD,2026-07-20,2026-08-19,issued,Services INV-1006
INV-1007,7,18200.0,USD,2026-08-26,2026-09-25,issued,Services INV-1007
INV-1008,8,5400.0,USD,2026-08-14,2026-09-13,issued,Services INV-1008
INV-1009,9,27700.0,USD,2026-08-22,2026-09-21,issued,Services INV-1009
INV-1010,10,9900.0,USD,2026-08-31,2026-09-30,issued,Services INV-1010
INV-1011,1,7200.0,USD,2026-08-04,2026-08-29,issued,Services INV-1011
INV-1012,2,3400.0,USD,2026-06-05,2026-07-20,issued,Services INV-1012
INV-1013,3,6100.0,USD,2026-08-09,2026-08-26,issued,Services INV-1013
INV-1014,4,8300.0,USD,2026-08-27,2026-09-26,issued,Services INV-1014
INV-1015,5,11200.0,USD,2026-09-01,2026-10-01,issued,Services INV-1015
